region_id,region_name,year,crop_id,area,production,yield
UA00,Ukraine,2017,140,1616.5,52438.8,32.4
UA00,Ukraine,2017,160,170,5053.9,29.7
UA00,Ukraine,2017,211,6361.2,261579.8,41.1
UA00,Ukraine,2017,213,2501.5,82848.9,33.1
UA00,Ukraine,2017,214,171,5078.5,29.6
UA00,Ukraine,2017,215,197.8,4714.1,23.9
UA00,Ukraine,2017,216,4480.7,246687.5,55.1
UA00,Ukraine,2017,220,185.3,1804.4,9.7
UA00,Ukraine,2017,222,291.1,140113,481.5
UA00,Ukraine,2017,231,6086.7,136268.9,22.4
UA00,Ukraine,2017,232,449.3,11539.1,25.7
UA00,Ukraine,2017,233,1859.4,42769.9,23
UA00,Ukraine,2017,240,56.1,844.4,15
UA00,Ukraine,2017,250,12.7,639.4,50.5
UA00,Ukraine,2017,270,503.5,12387.9,24.6
UA00,Ukraine,2018,30,14794.1,700565.3,47.4
UA00,Ukraine,2018,50,6408.6,239066.2,37.3
UA00,Ukraine,2018,80,195.3,6992.2,35.8
UA00,Ukraine,2018,130,873.1,29232.4,33.5
UA00,Ukraine,2018,140,1611.2,44259,27.5
UA00,Ukraine,2018,160,147.9,3929.9,26.6
UA00,Ukraine,2018,211,6603.9,246058.4,37.3
UA00,Ukraine,2018,213,2484.3,73491.4,29.6
UA00,Ukraine,2018,214,148.4,3937.8,26.6
UA00,Ukraine,2018,215,195.8,4184.6,21.4
UA00,Ukraine,2018,216,4564.2,358010.5,78.4
UA00,Ukraine,2018,220,113.3,1370.1,12.1
UA00,Ukraine,2018,222,274.7,139677,508.5
UA00,Ukraine,2018,231,6166.5,141651.7,23
UA00,Ukraine,2018,232,1039.3,27506,26.5
UA00,Ukraine,2018,233,1728.7,44607.7,25.8
UA00,Ukraine,2018,240,54.8,804.6,14.6
UA00,Ukraine,2018,250,12.6,692.1,54.9
UA00,Ukraine,2018,270,555.8,9545.9,17.2
UA00,Ukraine,2019,30,15291.9,751432,49.1
UA00,Ukraine,2019,50,6645.3,276635.8,41.6
UA00,Ukraine,2019,80,167.1,6642.8,39.7
UA00,Ukraine,2019,130,1056.8,38784.7,36.7
UA00,Ukraine,2019,140,1552.4,50383.1,32.4
UA00,Ukraine,2019,160,114.9,3332.1,28.9
UA00,Ukraine,2019,211,6812.4,283278.6,41.6
UA00,Ukraine,2019,213,2609.2,89167.8,34.2
UA00,Ukraine,2019,214,115.4,3346.8,28.9
UA00,Ukraine,2019,215,181.9,4220,23.2
UA00,Ukraine,2019,216,4986.9,358800.5,71.9
UA00,Ukraine,2019,220,69.2,850.2,12.3
UA00,Ukraine,2019,222,221.3,102045.3,461.1
UA00,Ukraine,2019,231,5958.9,152541.2,25.6
UA00,Ukraine,2019,232,1279.2,32803.2,25.6
UA00,Ukraine,2019,233,1612.8,36987.1,22.9
UA00,Ukraine,2019,240,93.3,1697.3,18.1
UA00,Ukraine,2019,250,10.5,545.7,52.2
UA00,Ukraine,2019,270,347.4,7098.6,20.4
UA00,Ukraine,2020,30,15282.9,649333.9,42.5
UA00,Ukraine,2020,50,6387.8,242593.7,38
UA00,Ukraine,2020,80,166.7,6180.5,37.1
UA00,Ukraine,2020,130,1007.5,32913.5,32.7
UA00,Ukraine,2020,140,1367,43449.9,31.8
UA00,Ukraine,2020,160,136.9,4545.1,33.3
UA00,Ukraine,2020,211,6554.5,248774.2,38
UA00,Ukraine,2020,213,2374.5,76363.4,32.2
UA00,Ukraine,2020,214,137.8,4567.8,33.2
UA00,Ukraine,2020,215,199,5100,25.6
UA00,Ukraine,2020,216,5392.1,302903.4,56.2
UA00,Ukraine,2020,220,84.1,976.4,11.6
UA00,Ukraine,2020,222,220,91501.8,416.2
UA00,Ukraine,2020,231,6480.9,131104.3,20.2
UA00,Ukraine,2020,232,1112.5,25572,23
UA00,Ukraine,2020,233,1364.3,27976.7,20.5
UA00,Ukraine,2020,240,159.1,2560.5,16.1
UA00,Ukraine,2020,250,11.2,606.8,54
